Especie,Fecha,Saldo_CC,Saldo_mora,Cobertura,Resultado,R_Numeros,Actual,P_Operacion,Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7,Columna8
TIPS U1 B-2030:,15 de mayo de 2024,"253,181","46,351",179.17%,"206,830",-,115440,-,MM,1.5,100%,100%,100%,100%,"20,314",
TIPS U1 MZ-2030:,15 de mayo de 2024,"253,181","46,351",111.08%,"206,830",-,70753,-,MM,5.0,100%,100%,100%,100%,"20,203",
TIPS U1 C-2030:,15 de mayo de 2024,"253,181","46,351",105.81%,"206,830",-,9289,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS U2_ A-2027:,09 de mayo de 2024,"260,495","22,105",248.82%,"238,390",238390,95808,248.82%,MM,1.0,100%,100%,100%,100%,"3,720",
TIPS U2_ B-3032:,09 de mayo de 2024,"260,495","22,105",118.50%,"238,390",-,105371,-,MM,1.5,100%,100%,100%,100%,"2,070",
TIPS U2_ MZ-3032:,09 de mayo de 2024,"260,495","22,105",107.77%,"238,390",-,20020,-,MM,5.0,100%,100%,100%,87%,-,
TIPS U2_ C-3032:,09 de mayo de 2024,"260,495","22,105",101.71%,"238,390",-,13171,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS U3_ A-2028:,mayo de 2024,"523,197","42,683",123.20%,"480,514",480514,390012,123.20%,MM,1.0,100%,100%,100%,100%,"50,654",
TIPS U3_ B-2033:,mayo de 2024,"523,197","42,683",123.20%,"480,514",-,-,-,MM,1.5,100%,100%,100%,100%,"46,854",
TIPS U3_ MZ-2033:,mayo de 2024,"523,197","42,683",109.72%,"480,514",-,47917,-,MM,5.0,100%,100%,100%,100%,"24,697",
TIPS U3_ C-2033:,mayo de 2024,"523,197","42,683",105.20%,"480,514",-,18829,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS U4_ A-2027:,15 de mayo de 2024,"519,716","25,651",160.41%,"494,065",494065,307993,160.41%,MM,1.0,100%,100%,100%,100%,"28,685",
TIPS U4_ B-2034:,15 de mayo de 2024,"519,716","25,651",114.10%,"494,065",-,125007,-,MM,1.5,100%,100%,100%,100%,"24,285",
TIPS U4_ MZ-2034:,15 de mayo de 2024,"519,716","25,651",110.00%,"494,065",-,16162,-,MM,5.0,100%,100%,100%,100%,966,
TIPS U4_ C--2034:,15 de mayo de 2024,"519,716","25,651",107.52%,"494,065",-,10364,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIS PESOS H1 _ A-2026:,mayo de 2024,"8,368",415,-,"7,953",7953,-,100.00%,MM,1.0,100%,100%,100%,"1,979",,
TIS PESOS H1 _ B-2030:,mayo de 2024,"8,368",415,197.21%,"7,953",-,4033,-,MM,1.5,100%,100%,100%,"1,898",,
TIS PESOS H1 _ B-2031:,mayo de 2024,"8,368",415,135.29%,"7,953",-,1846,-,MM,5.0,100%,100%,100%,"1,614",,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIS PESOS H2 _ A-2028:,mayo de 2024,"19,744",507,225.95%,"19,237",19237,8514,225.95%,MM,1.0,100%,100%,100%,"2,244",,
TIS PESOS H2 _ B1-2033:,mayo de 2024,"19,744",507,130.84%,"19,237",-,6189,-,MM,1.5,100%,100%,100%,"2,104",,
TIS PESOS H2 _ B2-2033:,mayo de 2024,"19,744",507,117.52%,"19,237",-,1666,-,MM,5.0,100%,100%,100%,"1,219",,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIV PESOS V2 _ A-2026:,mayo de 2024,"27,440","1,457",1443.40%,"25,983",25983,1800,1443.50%,MM,1.0,100%,100%,100%,100%,"13,861",
TIV PESOS V2 _ B1-2031:,mayo de 2024,"27,440","1,457",279.39%,"25,983",-,7500,-,MM,1.5,100%,100%,100%,100%,"13,525",
TIV PESOS V2 _ B2-2031:,mayo de 2024,"27,440","1,457",220.19%,"25,983",-,2500,-,MM,5.0,100%,100%,100%,100%,"11,366",
TIV PESOS V2 _ C-2031:,mayo de 2024,"27,440","1,457",202.99%,"25,983",-,1000,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIL PESOS L3  A-2023:,mayo de 2023,"8,264","2,336",-,"5,928",5928,-,100.00%,MM,1.0,100%,100%,100%,100%,"5,306",
TIL PESOS L3  B1-2025:,mayo de 2023,"8,264","2,336",-,"5,928",-,-,-,MM,1.5,100%,100%,100%,100%,"5,274",
TIL PESOS L3  B2-2025:,mayo de 2023,"8,264","2,336",-,"5,928",-,-,-,MM,5.0,100%,100%,100%,100%,"5,053",
TIL PESOS L3  C-2025:,mayo de 2023,"8,264","2,336",-,"5,928",-,-,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
